id_municipio,f0_,f1_
2701001,29988000.0,8626
2701100,15043800.0,4130
2701209,14008800.0,4286
2701308,25144800.0,6733
2701357,9511800.0,2530
2701407,44482200.0,12382
2701506,14590200.0,4267
2701605,27331800.0,8005
2701704,17991600.0,5405
2701803,12599400.0,3727
2701902,8697600.0,2504
2702009,13132200.0,4267
2702108,26487000.0,7073
2702207,6609600.0,2127
2702306,56642400.0,17026
2702355,30749400.0,9640
2702405,61444800.0,18882
2702504,13614600.0,4074
2702553,19869000.0,6470
2702603,30394200.0,9136
2702702,5479200.0,1689
2702801,16219200.0,4619
2702900,43315800.0,13382
2703007,19284000.0,5726
2703106,33535800.0,10296
2703205,27737400.0,8590
2703304,21643800.0,6791
2703403,7704600.0,2427
2703502,8315400.0,2459
2703601,12933600.0,3536
2703700,7039200.0,2284
2703759,14562000.0,4136
2703809,26745000.0,7804
2703908,5760000.0,1707
2704005,31332600.0,9418
2704104,24192000.0,7570
2704203,30628200.0,9474
2704302,922017000.0,110716
2704401,24712800.0,7472
2704906,4717200.0,1496
2704500,42609000.0,12102
2704609,15439800.0,4475
2704708,67318800.0,19346
2704807,15948600.0,4992
2705002,26190000.0,8044
2705101,29171400.0,8467
2705200,18867600.0,5803
2705309,6381000.0,2191
2705408,10621200.0,3241
2705507,34474200.0,9396
2705606,14332200.0,4370
2705705,24704400.0,7841
2705804,11919000.0,3642
2705903,7836600.0,2339
2706000,14832000.0,4766
2706109,16906200.0,5246
2706208,6448800.0,2076
2706307,86850600.0,24593
2706406,28978800.0,9027
2706422,13257600.0,4072
2706448,19068000.0,5542
2706505,16687200.0,4954
2706604,9261600.0,2854
2706703,79228800.0,21714
2706802,26305800.0,7465
2706901,46854600.0,12933
2707008,2663400.0,893
2707107,30492000.0,9136
2707206,17046600.0,5268
2707305,38657400.0,10292
2707404,11350800.0,3380
2707503,28229400.0,8128
2707602,15765000.0,4890
2707701,106963800.0,29109
2707800,8919000.0,2717
2707909,8691600.0,2709
2708006,59401800.0,17025
2708105,14441400.0,4635
2708204,8556000.0,2850
2708303,28091400.0,7959
2708402,42342000.0,12157
2708501,41226000.0,10646
2708600,66435000.0,18246
2708709,10621200.0,3520
2708808,43389000.0,13058
2708907,19951200.0,6706
2708956,17070000.0,4932
2709004,7549800.0,2498
2709103,22653600.0,7420
2709152,48903000.0,14914
2709202,26578200.0,8250
2709301,83111400.0,22833
2709400,33316800.0,9229
,247800.0,90
1400050,16730400.0,4964
1400027,10665600.0,3354
1400100,409073400.0,93528
1400159,17317800.0,5123
1400175,21637800.0,6705
1400209,27202800.0,8232
1400233,12732600.0,4251
1400282,10036200.0,2958
1400308,25103400.0,7238
1400407,12604200.0,3701
1400456,21243000.0,8233
1400472,36587400.0,11566
1400506,8132400.0,2688
1400605,8337600.0,2592
1400704,10515600.0,3295
1600105,26841000.0,9381
1600204,13689600.0,4411
1600212,6930000.0,2185
1600238,9222600.0,2861
1600253,9843600.0,2843
1600279,58031400.0,16286
1600303,521280000.0,88081
1600402,32427600.0,9193
1600501,34144200.0,12018
1600154,15634800.0,4421
1600535,25127400.0,7376
1600550,5289000.0,1600
1600600,152485200.0,38185
1600055,6604200.0,1995
1600709,16147800.0,4942
1600808,19272600.0,5575
1200013,16856400.0,5649
1200054,14698200.0,5157
1200104,35144400.0,11817
1200138,14351400.0,4638
1200179,13604400.0,4384
1200203,101476200.0,28834
1200252,21675000.0,7361
1200302,38481600.0,11680
1200328,9795000.0,3067
1200336,23227200.0,7229
1200344,13716600.0,4329
1200351,19533600.0,5969
1200385,17453400.0,6012
1200807,23868000.0,7340
1200393,11119200.0,3563
1200401,372596400.0,76980
1200427,17490000.0,5492
1200435,7196400.0,2108
1200500,55021800.0,16016
1200450,31704600.0,8735
1200609,52419600.0,14517
1200708,20218800.0,6613
1700251,2563200.0,935
1700301,5302800.0,1749
1700350,6304200.0,2142
1700400,8658600.0,2780
1700707,8442000.0,2955
1701002,11848200.0,3705
1701051,2974200.0,1104
1701101,4622400.0,1686
1701309,5490000.0,1931
1701903,6015000.0,2247
1702000,7670400.0,2757
1702109,151492200.0,47171
1702158,7155600.0,2378
1702208,34597800.0,11384
1702307,6179400.0,2189
1702406,11779800.0,3774
1702554,18640800.0,6521
1702703,3750000.0,1316
1702901,16020000.0,4823
1703008,9249000.0,2994
1703057,2945400.0,988
1703073,4456200.0,1582
1703107,6222000.0,2215
1703206,4809600.0,1655
1703305,4786800.0,1517
1703602,1858200.0,662
1703701,5296200.0,1824
1703800,8383800.0,2976
1703826,2536200.0,826
1703842,8187000.0,2885
1703867,3216600.0,1204
1703883,2562600.0,955
1703891,4417800.0,1459
1703909,6346800.0,1855
1704105,2151600.0,755
1705102,3359400.0,1107
1704600,1528200.0,551
1705508,34286400.0,11931
1716703,9044400.0,3148
1705557,5541600.0,1926
1705607,4510800.0,1450
1706001,5902200.0,2024
1706100,7214400.0,2491
1706506,6102600.0,2154
1707009,18155400.0,6118
1707108,7439400.0,2578
1707207,7042800.0,2350
1707306,4545600.0,1534
1707405,10272000.0,3328
1707553,3615600.0,1355
1707652,5556600.0,1989
1707702,9055800.0,2846
1708205,18980400.0,6750
1708254,3948000.0,1273
1708304,6277800.0,2134
1709005,13700400.0,4098
1709302,23277600.0,8372
1709500,70926600.0,25406
1709807,1752600.0,581
1710508,7966200.0,2575
1710706,6499200.0,2159
1710904,4635000.0,1505
1711100,2509200.0,920
1711506,3852000.0,1388
1711803,2668800.0,945
