ano,sigla_uf,vagas,id_municipio_tse
2000,AL,9,27081
2000,AL,12,27278
2000,AL,9,27294
2000,AL,9,27316
2000,AL,9,27332
2000,AL,9,27359
2000,AL,9,27375
2000,AL,9,27391
2000,AL,9,27413
2000,AL,9,27430
2000,AL,13,27456
2000,AL,9,28894
2000,AL,13,27472
2000,AL,9,27499
2000,AL,9,27049
2000,AL,9,27510
2000,AL,9,27537
2000,AL,9,27553
2000,AL,13,27570
2000,AL,9,27596
2000,AL,10,27618
2000,AL,9,27634
2000,AL,9,27650
2000,AL,9,27677
2000,AL,9,27693
2000,AL,9,27715
2000,AL,9,27731
2000,AL,9,27065
2000,AL,9,27758
2000,AL,9,27774
2000,AL,10,27790
2000,AL,9,27812
2000,AL,9,27839
2000,AL,21,27855
2000,AL,9,27871
2000,AL,9,27979
2000,AL,9,27898
2000,AL,9,27910
2000,AL,11,27936
2000,AL,9,27952
2000,AL,10,27995
2000,AL,9,28010
2000,AL,9,28037
2000,AL,9,28053
2000,AL,9,28070
2000,AL,11,28096
2000,AL,9,28118
2000,AL,9,28134
2000,AL,9,28150
2000,AL,9,28177
2000,AL,9,28193
2000,AL,9,28215
2000,AL,9,28231
2000,AL,15,28258
2000,AL,9,28274
2000,AL,9,27022
2000,AL,9,27006
2000,AL,9,28290
2000,AL,9,28312
2000,AL,13,28339
2000,AL,9,28355
2000,AL,14,28371
2000,AL,9,28398
2000,AL,11,28410
2000,AL,9,28436
2000,AL,11,28452
2000,AL,9,28479
2000,AL,11,28495
2000,AL,9,28517
2000,AL,17,28533
2000,AL,9,28550
2000,AL,9,28576
2000,AL,10,28592
2000,AL,9,28614
2000,AL,9,28630
2000,AL,10,28657
2000,AL,9,28673
2000,AL,11,28690
2000,AL,15,28711
2000,AL,9,28738
2000,AL,11,28754
2000,AL,9,28770
2000,AL,9,28916
2000,AL,10,28932
2000,AL,9,28797
2000,AL,9,28819
2000,AL,9,28835
2000,AL,13,28851
2000,AL,10,28878
2000,BA,9,33014
2000,BA,11,33030
2000,BA,9,33057
2000,BA,9,33065
2000,BA,11,33073
2000,BA,9,33090
2000,BA,9,33111
2000,BA,17,33138
2000,BA,11,33154
2000,BA,9,33170
2000,BA,13,33197
2000,BA,13,33219
2000,BA,11,30716
2000,BA,13,33235
2000,BA,9,33251
2000,BA,11,33260
2000,BA,11,33278
2000,BA,9,33294
2000,BA,11,34010
2000,BA,11,33316
2000,BA,9,33332
2000,BA,9,33359
2000,BA,11,33375
2000,BA,9,33405
2000,BA,9,33383
2000,BA,11,33391
2000,BA,15,33413
2000,BA,9,33430
2000,BA,11,30732
2000,BA,9,33456
2000,BA,11,33472
2000,BA,11,33499
2000,BA,11,33510
2000,BA,11,33529
2000,BA,13,33537
2000,BA,11,33553
2000,BA,13,33570
2000,BA,11,33596
2000,BA,9,33618
2000,BA,17,33634
2000,BA,9,30759
2000,BA,9,30775
2000,BA,11,33677
2000,BA,11,33693
2000,BA,11,33715
2000,BA,11,33731
2000,BA,11,33758
2000,BA,15,33774
2000,BA,9,33782
2000,BA,9,33790
2000,BA,9,33804
2000,BA,11,33812
2000,BA,9,33839
2000,BA,9,33855
2000,BA,9,33871
2000,BA,11,33898
2000,BA,15,33910
2000,BA,13,33936
2000,BA,9,30791
2000,BA,11,33952
2000,BA,9,33960
2000,BA,13,33979
2000,BA,13,33995
2000,BA,9,34029
2000,BA,13,34037
2000,BA,11,34053
2000,BA,11,34070
2000,BA,9,34096
2000,BA,13,34118
2000,BA,17,34134
2000,BA,13,34150
2000,BA,11,34177
2000,BA,15,34193
2000,BA,9,34215
2000,BA,11,34231
2000,BA,13,34258
2000,BA,9,34274
2000,BA,15,34290
2000,BA,11,34312
2000,BA,11,34339
2000,BA,13,34355
2000,BA,11,30856
2000,BA,11,30813
2000,BA,13,30830
2000,BA,11,34363
2000,BA,11,34371
2000,BA,9,34398
2000,BA,13,34410
2000,BA,13,34436
2000,BA,13,34452
2000,BA,9,34479
2000,BA,13,34495
2000,BA,9,34509
2000,BA,11,34517
2000,BA,11,34533
2000,BA,13,34550
2000,BA,9,34576
2000,BA,13,34592
2000,BA,11,34614
2000,BA,11,34630
2000,BA,11,34657
2000,BA,15,34673
2000,BA,13,34690
2000,BA,11,34711
2000,BA,11,34738
2000,BA,9,34754
2000,BA,13,34770
2000,BA,9,34797
2000,BA,11,34819
2000,BA,11,34835
2000,BA,13,34851
2000,BA,11,34878
2000,BA,9,34894
2000,BA,11,34916
2000,BA,11,34932
2000,BA,13,34959
2000,BA,11,34975
2000,BA,11,34991
2000,BA,13,30872
2000,BA,9,35017
2000,BA,9,35033
2000,BA,11,35050
2000,BA,13,35076
2000,BA,13,35092
2000,BA,13,35114
2000,BA,13,35130
2000,BA,15,30058
2000,BA,11,30899
2000,BA,9,35149
2000,BA,21,35157
2000,BA,9,30910
2000,BA,9,35173
2000,BA,11,35190
2000,BA,11,35211
2000,BA,13,35238
2000,BA,9,30937
2000,BA,9,35254
2000,BA,9,35270
2000,BA,9,35297
2000,BA,9,33650
2000,BA,11,35319
2000,BA,9,30953
2000,BA,13,35335
2000,BA,13,35351
2000,BA,11,30970
2000,BA,13,35378
2000,BA,9,35394
2000,BA,13,35416
2000,BA,9,35432
2000,BA,11,35459
2000,BA,11,35475
2000,BA,11,35513
2000,BA,9,35530
2000,BA,11,35556
2000,BA,9,35572
2000,BA,11,35599
2000,BA,11,35610
2000,BA,11,35637
2000,BA,13,35653
2000,BA,9,35670
2000,BA,11,35696
2000,BA,9,35700
2000,BA,13,35718
2000,BA,19,35734
2000,BA,13,35750
2000,BA,11,35777
2000,BA,15,35793
2000,BA,15,35815
2000,BA,9,35831
2000,BA,9,35858
2000,BA,11,35874
2000,BA,11,35890
2000,BA,13,35912
2000,BA,15,35939
2000,BA,13,35947
2000,BA,15,35955
2000,BA,19,35971
2000,BA,11,35998
2000,BA,9,36013
2000,BA,11,36030
2000,BA,11,36056
2000,BA,9,36072
2000,BA,9,36080
2000,BA,9,36099
2000,BA,13,36110
2000,BA,15,36137
2000,BA,9,36153
2000,BA,13,36170
2000,BA,9,36196
2000,BA,13,36218
2000,BA,11,36234
2000,BA,11,36250
2000,BA,11,36277
2000,BA,15,36293
2000,BA,11,36315
2000,BA,9,36331
2000,BA,9,36358
2000,BA,11,36374
2000,BA,11,36382
2000,BA,11,36390
2000,BA,13,36412
2000,BA,13,36439
2000,BA,11,36455
2000,BA,13,36471
2000,BA,9,30660
2000,BA,9,30678
2000,BA,11,36498
2000,BA,15,36510
2000,BA,13,36536
2000,BA,13,36552
2000,BA,9,36579
2000,BA,9,36595
2000,BA,17,36617
2000,BA,13,36633
2000,BA,11,36650
2000,BA,11,36676
2000,BA,11,30996
2000,BA,19,36692
2000,BA,11,36706
2000,BA,11,36714
2000,BA,11,30694
2000,BA,9,36730
2000,BA,9,36757
2000,BA,9,36765
2000,BA,11,36773
2000,BA,9,36790
2000,BA,9,36811
2000,BA,9,36820
2000,BA,9,36838
2000,BA,11,39730
2000,BA,17,36854
2000,BA,9,36870
2000,BA,11,36897
2000,BA,13,36919
2000,BA,9,30007
2000,BA,9,36935
2000,BA,11,36951
2000,BA,13,36978
2000,BA,9,36994
2000,BA,9,39748
