CodMun,REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP
1300060,1 - Norte,13,Amazonas,Amaturá,11536,3 - 10001 até 20000
1300086,1 - Norte,13,Amazonas,Anamã,13614,3 - 10001 até 20000
1300102,1 - Norte,13,Amazonas,Anori,21010,4 - 20001 até 50000
1300144,1 - Norte,13,Amazonas,Apuí,21973,4 - 20001 até 50000
1300201,1 - Norte,13,Amazonas,Atalaia do Norte,19921,3 - 10001 até 20000
1300300,1 - Norte,13,Amazonas,Autazes,39565,4 - 20001 até 50000
1300409,1 - Norte,13,Amazonas,Barcelos,27502,4 - 20001 até 50000
1300508,1 - Norte,13,Amazonas,Barreirinha,32041,4 - 20001 até 50000
1300607,1 - Norte,13,Amazonas,Benjamin Constant,42984,4 - 20001 até 50000
1300631,1 - Norte,13,Amazonas,Beruri,19679,3 - 10001 até 20000
1300680,1 - Norte,13,Amazonas,Boa Vista do Ramos,19207,3 - 10001 até 20000
1300706,1 - Norte,13,Amazonas,Boca do Acre,34308,4 - 20001 até 50000
1300805,1 - Norte,13,Amazonas,Borba,41161,4 - 20001 até 50000
1300839,1 - Norte,13,Amazonas,Caapiranga,13081,3 - 10001 até 20000
1300904,1 - Norte,13,Amazonas,Canutama,15629,3 - 10001 até 20000
1301001,1 - Norte,13,Amazonas,Carauari,28294,4 - 20001 até 50000
1301100,1 - Norte,13,Amazonas,Careiro,37869,4 - 20001 até 50000
1301159,1 - Norte,13,Amazonas,Careiro da Várzea,30225,4 - 20001 até 50000
1301209,1 - Norte,13,Amazonas,Coari,85097,5 - 50001 até 100000
1301308,1 - Norte,13,Amazonas,Codajás,28637,4 - 20001 até 50000
1301407,1 - Norte,13,Amazonas,Eirunepé,35273,4 - 20001 até 50000
1301506,1 - Norte,13,Amazonas,Envira,20033,4 - 20001 até 50000
1301605,1 - Norte,13,Amazonas,Fonte Boa,17609,3 - 10001 até 20000
1301654,1 - Norte,13,Amazonas,Guajará,16678,3 - 10001 até 20000
1301704,1 - Norte,13,Amazonas,Humaitá,55080,5 - 50001 até 100000
1301803,1 - Norte,13,Amazonas,Ipixuna,29689,4 - 20001 até 50000
1301852,1 - Norte,13,Amazonas,Iranduba,48296,4 - 20001 até 50000
1301902,1 - Norte,13,Amazonas,Itacoatiara,101337,6 - 100001 até 500000
1301951,1 - Norte,13,Amazonas,Itamarati,7851,2 - 5001 até 10000
1302009,1 - Norte,13,Amazonas,Itapiranga,9148,2 - 5001 até 10000
1302108,1 - Norte,13,Amazonas,Japurá,2755,1 - Até 5000
1302207,1 - Norte,13,Amazonas,Juruá,14712,3 - 10001 até 20000
